line      1 | 'စွ န့်'                       -> 'စွန့်'                        | stage3:merge_with_previous
line      1 | 'နှ င့်'                       -> 'နှင့်'                        | stage3:merge_with_previous
line      1 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line      2 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line      3 | 'ကို ယ့်'                      -> 'ကိုယ့်'                       | stage3:merge_with_previous
line      4 | 'လိ မ့်'                       -> 'လိမ့်'                        | stage3:merge_with_previous
line      5 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line      6 | 'မ ယ့်'                        -> 'မယ့်'                         | stage3:merge_with_previous
line      7 | 'ကို ယ့်'                      -> 'ကိုယ့်'                       | stage3:merge_with_previous
line      8 | 'ရ င့်'                        -> 'ရင့်'                         | stage3:merge_with_previous
line      9 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     10 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     11 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     13 | 'နှ င့်'                       -> 'နှင့်'                        | stage3:merge_with_previous
line     14 | 'မ ယ့်'                        -> 'မယ့်'                         | stage3:merge_with_previous
line     14 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     15 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     16 | 'လိ မ့်'                       -> 'လိမ့်'                        | stage3:merge_with_previous
line     17 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     18 | 'ကို ယ့်'                      -> 'ကိုယ့်'                       | stage3:merge_with_previous
line     18 | 'စော င့်'                      -> 'စောင့်'                       | stage3:merge_with_previous
line     19 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     20 | 'က န့်'                        -> 'ကန့်'                         | stage3:merge_with_previous
line     21 | 'ထ ည့်'                        -> 'ထည့်'                         | stage3:merge_with_previous
line     22 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     23 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     25 | 'လိ မ့်'                       -> 'လိမ့်'                        | stage3:merge_with_previous
line     26 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     27 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     28 | 'စော င့်'                      -> 'စောင့်'                       | stage3:merge_with_previous
line     29 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     30 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     31 | 'ပြ ည့်'                       -> 'ပြည့်'                        | stage3:merge_with_previous
line     32 | 'ဖြ င့်'                       -> 'ဖြင့်'                        | stage3:merge_with_previous
line     33 | 'ဆ င့်'                        -> 'ဆင့်'                         | stage3:merge_with_previous
line     33 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     34 | 'စော င့်'                      -> 'စောင့်'                       | stage3:merge_with_previous
line     35 | 'ဥ်'                           -> 'ဉ်'                           | stage1:rule17 (ဥ် -> ဉ် (wrong independent vowel))
line     35 | 'စ ဉ်'                         -> 'စဉ်'                          | stage3:merge_with_previous
line     36 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     38 | 'ပြ ည့်'                       -> 'ပြည့်'                        | stage3:merge_with_previous
line     38 | 'ပွ င့်'                       -> 'ပွင့်'                        | stage3:merge_with_previous
line     39 | 'ခ န့်'                        -> 'ခန့်'                         | stage3:merge_with_previous
line     40 | 'မ ယ့်'                        -> 'မယ့်'                         | stage3:merge_with_previous
line     41 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     42 | 'က ယ့်'                        -> 'ကယ့်'                         | stage3:merge_with_previous
line     43 | 'ဖွ င့်'                       -> 'ဖွင့်'                        | stage3:merge_with_previous
line     44 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     45 | 'မ ယ့်'                        -> 'မယ့်'                         | stage3:merge_with_previous
line     46 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     47 | 'ဖြ ည့်'                       -> 'ဖြည့်'                        | stage3:merge_with_previous
line     48 | 'ဖွ င့်'                       -> 'ဖွင့်'                        | stage3:merge_with_previous
line     49 | 'လိ မ့်'                       -> 'လိမ့်'                        | stage3:merge_with_previous
line     50 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     51 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     52 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     54 | 'မ ယ့်'                        -> 'မယ့်'                         | stage3:merge_with_previous
line     55 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     56 | 'ထ ည့်'                        -> 'ထည့်'                         | stage3:merge_with_previous
line     57 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     58 | 'ဖွ င့်'                       -> 'ဖွင့်'                        | stage3:merge_with_previous
line     58 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     59 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     60 | 'အော င့်'                      -> 'အောင့်'                       | stage3:merge_with_previous
line     61 | 'လ န့်'                        -> 'လန့်'                         | stage3:merge_with_previous
line     62 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     63 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     63 | 'လိ မ့်'                       -> 'လိမ့်'                        | stage3:merge_with_previous
line     64 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     65 | 'ကို ယ့်'                      -> 'ကိုယ့်'                       | stage3:merge_with_previous
line     65 | 'အော င့်'                      -> 'အောင့်'                       | stage3:merge_with_previous
line     66 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     66 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     67 | 'လ န့်'                        -> 'လန့်'                         | stage3:merge_with_previous
line     67 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     68 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     69 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     70 | 'ကျ င့်'                       -> 'ကျင့်'                        | stage3:merge_with_previous
line     70 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     72 | 'ကို ယ့်'                      -> 'ကိုယ့်'                       | stage3:merge_with_previous
line     73 | 'ဆ င့်'                        -> 'ဆင့်'                         | stage3:merge_with_previous
line     74 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     75 | 'မ ယ့်'                        -> 'မယ့်'                         | stage3:merge_with_previous
line     76 | 'စော င့်'                      -> 'စောင့်'                       | stage3:merge_with_previous
line     77 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     78 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     79 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     80 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     82 | 'ဖြ င့်'                       -> 'ဖြင့်'                        | stage3:merge_with_previous
line     83 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     84 | 'နှ င့်'                       -> 'နှင့်'                        | stage3:merge_with_previous
line     85 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     86 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     88 | 'ဖြ င့်'                       -> 'ဖြင့်'                        | stage3:merge_with_previous
line     90 | 'ကြ ည့်'                       -> 'ကြည့်'                        | stage3:merge_with_previous
line     91 | 'ကြော င့်'                     -> 'ကြောင့်'                      | stage3:merge_with_previous
line     92 | 'ခွ င့်'                       -> 'ခွင့်'                        | stage3:merge_with_previous
line     93 | 'စော င့်'                      -> 'စောင့်'                       | stage3:merge_with_previous
line     94 | 'ထ ည့်'                        -> 'ထည့်'                         | stage3:merge_with_previous
line     96 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     97 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line     98 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
line     99 | 'သ င့်'                        -> 'သင့်'                         | stage3:merge_with_previous
line    100 | 'ရှ င့်'                       -> 'ရှင့်'                        | stage3:merge_with_previous
